Establishment_id,Name,Category,City,State,Zip,Address_line_1,Address_line_2,Owner,Type,Latitude,Longitude
2026,MCDONALDS 274,Fast Food,LAUREL,MD,20707.0,14810 BALTIMORE AVE,------,DAVID RARDIN,Food Establishments,39.093863,-76.854651
2027,MCDONALDS 23009,Fast Food,WEST HYATTSVILLE,MD,20782.0,3500 EAST WEST HWY,FC2,DAVID RARDIN,Food Establishments,38.966903,-76.958574
2028,Z BURGER,Carry-out,GREENBELT,MD,20770.0,6000 GREENBELT RD,105,PAYAM TABIBIAN,Food Establishments,38.997945,-76.911451
2029,MCDONALDS,Fast Food,OXON HILL,MD,20745.0,6126 OXON HILL RD,------,LUIS GAVIGNANO,Food Establishments,38.804933,-76.976626
2030,MCDONALDS 24963,Fast Food - Chain,LAUREL,MD,20708.0,13210 LAUREL BOWIE RD,------,DAVID RARDIN,Food Establishments,39.074688,-76.84836
2031,MCDONALDS 10734,Fast Food,CAPITOL HEIGHTS,MD,20743.0,1420 ADDISON RD SOUTH,------,Ron Gantt,Food Establishments,38.868081,-76.892759
2032,MCDONALDS 2308,Fast Food,SPRINGDALE,MD,20774.0,1030 LARGO CENTER DR,------,DON THOMPSON,Food Establishments,38.901593,-76.837718
2033,MCDONALDS 4475,Fast Food - Chain,LANDOVER,MD,20785.0,8710 CENTRAL AVE,------,JEROME NAVIES,Food Establishments,38.890526,-76.855111
2034,MCDONALDS 7676,Fast Food - Chain,BOWIE,MD,20716.0,4306 CRAIN HWY,------,CHRIS KEMPCZINSKI,Food Establishments,38.94794,-76.718076
2035,MCDONALDS 5008,Fast Food,HYATTSVILLE,MD,20783.0,2306 UNIVERSITY BLVD,------,STEVE EASTERBROOK,Food Establishments,38.984278,-76.970425
2036,MCDONALDS,Fast Food - Chain,CAPITOL HEIGHTS,MD,20743.0,6131 MARTIN LUTHER KING JR HWY,------,ISAAC GREEN,Food Establishments,38.901794,-76.90064
